user_id,start,stop,evenness,richness,no_posts,event
142,0,2,0.811278124459133,2,4,0
142,2,3,0.322756958897398,2,17,0
142,3,6,0.166163360333695,8,241,0
142,6,7,,1,2,1
420,0,1,0.486033796398861,12,222,0
420,1,2,0.284939708931663,8,89,1
76,0,1,0.888289588907657,22,89,0
76,1,2,0.885206567461205,23,129,0
76,2,3,0.867780415955295,10,26,0
76,3,4,0.891080902665589,30,184,0
76,4,5,0.839609789971857,39,179,0
76,5,6,0.84574132681704,34,191,0
76,6,7,0.882996656683915,36,224,1
392,0,2,0.577986998915338,4,28,0
392,2,3,,1,44,1
4,0,1,0.595962992484049,11,121,0
4,1,2,0.473116936151645,5,65,0
4,2,3,0.626657481631542,4,79,0
4,3,4,0.483487894106305,6,129,0
4,4,5,0.819448371872804,3,8,0
4,5,6,0.864057721792457,4,36,0
4,6,7,0.84835636132567,7,37,0
4,7,8,0.653539186404809,9,191,0
4,8,9,0.878863309119385,5,27,0
4,9,11,0.804801587621034,8,85,0
4,11,12,0.952819531114783,4,8,0
4,12,13,,1,1,0
4,13,18,0.82282810405085,13,46,0
4,18,20,0.654808781495156,17,87,0
4,20,23,0.633148125974072,22,279,0
4,23,24,0.786156261352081,11,53,0
4,24,31,0.462418292530141,49,2347,0
4,31,32,0.803091598572039,24,108,0
4,32,33,0.85849806688802,17,47,0
4,33,37,0.515231626263231,65,1205,1
188,0,1,0.579527388487855,14,87,0
188,1,2,0.716894444380272,11,64,0
188,2,3,0.738803679070748,24,124,0
188,3,4,0.809382719837751,15,93,0
188,4,5,0.568555762910425,17,203,0
188,5,6,0.670114094084303,18,242,0
188,6,7,0.632697513642412,22,235,0
188,7,8,0.493864183728034,12,143,0
188,8,9,0.785206979254744,19,58,0
188,9,10,0.653851259219518,12,76,0
188,10,11,0.644598411634697,23,99,0
188,11,12,0.674959128531469,26,180,0
188,12,13,0.742704949922656,20,187,0
188,13,14,0.625130147909492,16,121,0
188,14,15,0.660369954430136,14,84,0
188,15,16,0.673615435398555,18,100,0
188,16,17,0.822816902327011,16,105,0
188,17,18,0.752649721126396,18,102,0
188,18,19,0.769801745556973,14,56,0
188,19,20,0.808813707097555,16,73,0
188,20,21,0.773648703569447,16,67,0
188,21,22,0.854627110849698,19,104,0
188,22,23,0.820542599487503,14,57,0
188,23,24,0.791097477537522,19,116,0
188,24,25,0.739062134595414,18,151,0
188,25,26,0.821541407548755,24,120,0
188,26,27,0.755379597833649,19,178,0
188,27,28,0.781505277723037,13,44,1
334,0,2,0.52234078961468,4,40,0
334,2,3,0.918295834054489,2,6,1
384,0,1,0.724499714302897,3,139,1
242,0,1,0.714028067683784,3,207,0
242,1,2,0.722124169716986,3,158,0
242,2,3,0.488864980112737,6,198,0
242,3,4,0.797087915841773,5,56,1
48,0,2,0.533052735214244,3,45,1
304,0,1,0.970950594454669,2,5,0
304,1,2,0.745557425027593,4,11,0
304,2,3,0.896240625180289,4,6,0
304,3,6,0.703816183667801,10,36,0
304,6,7,0.829148509675632,14,36,0
304,7,8,0.73855462237435,12,55,0
304,8,11,0.82929398104725,25,86,0
304,11,12,0.889569776389376,11,25,0
304,12,13,,1,3,1
222,0,1,0.932851690679013,3,39,0
222,1,2,0.894964537655,4,11,1
5,0,2,0.828491525403818,6,13,0
5,2,4,0.548768919920977,4,18,0
5,4,5,0.864207717470775,5,26,0
5,5,6,0.630453146010575,6,41,0
5,6,8,0.682000571463422,7,28,1
313,0,3,0.703753477990163,5,19,0
313,3,4,0.687577786744805,6,26,0
313,4,5,0.8043461359047,5,11,1
396,0,1,0.244022305248466,10,172,0
396,1,2,0.3225274150072,7,67,0
396,2,3,,1,10,1
101,0,1,0.813788292226772,12,151,0
101,1,2,0.782186354731798,9,194,1
380,0,1,,1,1,0
380,1,2,0.811278124459133,2,4,0
380,2,3,0.315254361765057,8,201,0
380,3,4,0.341449639857113,7,86,0
380,4,9,,1,1,0
380,9,10,,1,6,1
178,0,1,0.309543429150325,2,18,1
339,0,1,0.632546396929044,6,33,0
339,1,2,0.773705614469083,6,16,1
348,0,1,0.788992705408867,34,114,0
348,1,2,0.854051022990043,27,76,0
